"Объект","Мужчины и женщины","Мужчины","Женщины","мужчины в процентах","женщины в процентах"
"Сельское население","3,673","1,793","1,880","48.8","51.2"
"Городское поселение Мышкин - городское население - г. Мышкин","5,621","2,507","3,114","44.6","55.4"
"Охотинское сельское поселение - сельское население","1,076","518","558","48.1","51.9"
"Приволжское сельское поселение - сельское население","2,597","1,275","1,322","49.1","50.9"
"Некоузский муниципальный район - сельское население","12,039","5,457","6,582","45.3","54.7"
"Веретейское сельское поселение","2,125","935","1,190","44.0","56.0"
"Волжское сельское поселение","3,020","1,353","1,667","44.8","55.2"
"Некоузское сельское поселение","4,868","2,270","2,598","46.6","53.4"
"село Новый Некоуз","3,260","1,475","1,785","45.2","54.8"
"прочие сельские населенные пункты","1,608","795","813","49.4","50.6"
"Октябрьское сельское поселение","2,026","899","1,127","44.4","55.6"
"Некрасовский муниципальный район","19,926","8,989","10,937","45.1","54.9"
"Городское население","9,777","4,293","5,484","43.9","56.1"
"Сельское население","10,149","4,696","5,453","46.3","53.7"
"Сельское поселение Бурмакино","5,028","2,256","2,772","44.9","55.1"
"Городское население - пгт Бурмакино рп","2,610","1,185","1,425","45.4","54.6"
"Сельское население","2,418","1,071","1,347","44.3","55.7"
"Сельское поселение Красный Профинтерн","5,092","2,322","2,770","45.6","54.4"
"Городское население - пгт Красный Профинтерн рп","1,088","455","633","41.8","58.2"
"Сельское население","4,004","1,867","2,137","46.6","53.4"
"Сельское поселение Некрасовское ","9,806","4,411","5,395","45.0","55.0"
"Городское население - пгт Некрасовское рп","6,079","2,653","3,426","43.6","56.4"
"Сельское население","3,727","1,758","1,969","47.2","52.8"
"Первомайский муниципальный район","8,698","4,008","4,690","46.1","53.9"
"Городское население","4,486","2,017","2,469","45.0","55.0"
"Сельское население","4,212","1,991","2,221","47.3","52.7"
"Городское поселение Пречистое  - городское население - пгт Пречистое рп","4,486","2,017","2,469","45.0","55.0"
"Кукобойское сельское поселение - сельское население","2,078","960","1,118","46.2","53.8"
"Пречистенское сельское поселение - сельское население","2,134","1,031","1,103","48.3","51.7"
"Пошехонский муниципальный район","10,684","4,876","5,808","45.6","54.4"
"Городское население","5,150","2,210","2,940","42.9","57.1"
"Сельское население","5,534","2,666","2,868","48.2","51.8"
"Городское поселение Пошехонье - городское население - г. Пошехонье","5,150","2,210","2,940","42.9","57.1"
"Белосельское сельское поселение - сельское население","1,145","536","609","46.8","53.2"
"Ермаковское сельское поселение - сельское население","1,364","652","712","47.8","52.2"
"Кременевское сельское поселение - сельское население","1,175","568","607","48.3","51.7"
"Пригородное сельское поселение - сельское население","1,850","910","940","49.2","50.8"
"Ростовский муниципальный район","59,429","27,008","32,421","45.4","54.6"
"Городское население","43,291","19,375","23,916","44.8","55.2"
"Сельское население","16,138","7,633","8,505","47.3","52.7"
"Городское поселение Ростов - городское население - г. Ростов","28,122","12,586","15,536","44.8","55.2"
"Сельское поселение Ишня","6,928","3,264","3,664","47.1","52.9"
"Городское население - пгт Ишня рп","2,733","1,247","1,486","45.6","54.4"
"Сельское население","4,195","2,017","2,178","48.1","51.9"
"Сельское поселение Петровское ","10,557","4,882","5,675","46.2","53.8"
"Городское население - пгт Петровское рп","4,478","2,013","2,465","45.0","55.0"
"Сельское население","6,079","2,869","3,210","47.2","52.8"
"Сельское поселение Поречье-Рыбное ","1,825","829","996","45.4","54.6"
"Городское население - пгт Поречье-Рыбное рп","1,447","656","791","45.3","54.7"
"Сельское население","378","173","205","45.8","54.2"
"Сельское поселение Семибратово","11,997","5,447","6,550","45.4","54.6"
"Городское население - пгт Семибратово рп","6,511","2,873","3,638","44.1","55.9"
"Сельское население","5,486","2,574","2,912","46.9","53.1"
"Рыбинский муниципальный район - сельское население","27,080","12,685","14,395","46.8","53.2"
"Арефинское сельское поселение","1,288","631","657","49.0","51.0"
"Волжское сельское поселение","2,889","1,338","1,551","46.3","53.7"
"Глебовское сельское поселение","1,335","659","676","49.4","50.6"
"Каменниковское сельское поселение","2,601","1,217","1,384","46.8","53.2"
"Назаровское сельское поселение","2,122","1,042","1,080","49.1","50.9"
"Огарковское сельское поселение","1,278","617","661","48.3","51.7"
"Октябрьское сельское поселение","3,725","1,721","2,004","46.2","53.8"
"Покровское сельское поселение","3,477","1,633","1,844","47.0","53.0"
"Сельское поселение Песочное ","2,624","1,168","1,456","44.5","55.5"
"Судоверфское сельское поселение","3,912","1,826","2,086","46.7","53.3"
"Тихменевское сельское поселение","1,829","833","996","45.5","54.5"
"Тутаевский муниципальный район","53,031","23,713","29,318","44.7","55.3"
"Городское население","44,697","19,854","24,843","44.4","55.6"
"Сельское население","8,334","3,859","4,475","46.3","53.7"
"Городское поселение Тутаев - городское население - г. Тутаев","39,643","17,669","21,974","44.6","55.4"
"Артемьевское сельское поселение - сельское население","1,251","617","634","49.3","50.7"
"Константиновское сельское поселение","8,292","3,637","4,655","43.9","56.1"
"Городское население - пгт Константиновский рп","5,054","2,185","2,869","43.2","56.8"
"Сельское население","3,238","1,452","1,786","44.8","55.2"
"Левобережное сельское поселение - сельское население","2,584","1,209","1,375","46.8","53.2"
"Чебаковское сельское поселение - сельское население","1,261","581","680","46.1","53.9"
"Угличский муниципальный район","47,452","21,922","25,530","46.2","53.8"
"Городское население","32,719","14,625","18,094","44.7","55.3"
"Сельское население","14,733","7,297","7,436","49.5","50.5"
"Городское поселение Углич - городское население - г. Углич","32,719","14,625","18,094","44.7","55.3"
"Головинское сельское поселение - сельское население","2,513","1,275","1,238","50.7","49.3"
"Ильинское сельское поселение - сельское население","3,249","1,620","1,629","49.9","50.1"
"Отрадновское сельское поселение - сельское население","3,184","1,559","1,625","49.0","51.0"
"Слободское сельское поселение - сельское население","3,909","1,933","1,976","49.4","50.6"
"Улейминское сельское поселение - сельское население","1,878","910","968","48.5","51.5"
"Ярославский муниципальный район","68,433","32,252","36,181","47.1","52.9"
"Городское население","2,492","1,146","1,346","46.0","54.0"
"Сельское население","65,941","31,106","34,835","47.2","52.8"
"Городское поселение Лесная Поляна - городское население - пгт Лесная Поляна рп","2,492","1,146","1,346","46.0","54.0"
"Заволжское сельское поселение - сельское население","14,927","6,990","7,937","46.8","53.2"
"поселок Красный Бор","6,618","2,958","3,660","44.7","55.3"
"прочие сельские населенные пункты","8,309","4,032","4,277","48.5","51.5"
"Ивняковское сельское поселение - сельское население","9,786","4,508","5,278","46.1","53.9"
"поселок Ивняки","4,570","2,064","2,506","45.2","54.8"
"прочие сельские населенные пункты","5,216","2,444","2,772","46.9","53.1"
"Карабихское сельское поселение - сельское население","15,330","7,119","8,211","46.4","53.6"
"п Красные Ткачи ","4,213","1,935","2,278","45.9","54.1"
"прочие сельские населенные пункты","11,117","5,184","5,933","46.6","53.4"
"Кузнечихинское сельское поселение - сельское население","11,201","5,409","5,792","48.3","51.7"
"деревня Кузнечиха","4,209","1,945","2,264","46.2","53.8"
"прочие сельские населенные пункты","6,992","3,464","3,528","49.5","50.5"
"Курбское сельское поселение - сельское население","5,240","2,635","2,605","50.3","49.7"
"Некрасовское сельское поселение - сельское население","3,107","1,443","1,664","46.4","53.6"
"Туношенское сельское поселение - сельское население","6,350","3,002","3,348","47.3","52.7"
"г. Москва - городское население","13,010,112","6,042,742","6,967,370","46.4","53.6"
"Муниципальные образования Восточного округа","1,512,946","691,765","821,181","45.7","54.3"
"Богородское","108,757","51,307","57,450","47.2","52.8"
"Вешняки","119,492","54,731","64,761","45.8","54.2"
"Восточное","12,822","6,019","6,803","46.9","53.1"
"Восточное Измайлово","74,577","33,975","40,602","45.6","54.4"
"Гольяново","165,299","71,541","93,758","43.3","56.7"
"Ивановское","126,198","57,037","69,161","45.2","54.8"
"Измайлово","107,158","50,741","56,417","47.4","52.6"
"Косино-Ухтомское","88,817","40,705","48,112","45.8","54.2"
"Метрогородок","39,126","17,504","21,622","44.7","55.3"
"Новогиреево","100,386","46,171","54,215","46.0","54.0"
"Новокосино","106,668","49,861","56,807","46.7","53.3"
"Перово","137,362","61,173","76,189","44.5","55.5"
"Преображенское","88,453","42,003","46,450","47.5","52.5"
"Северное Измайлово","85,063","38,642","46,421","45.4","54.6"
"Соколиная Гора","92,999","42,586","50,413","45.8","54.2"
"Сокольники","59,769","27,769","32,000","46.5","53.5"
"Муниципальные образования Западного округа","1,437,153","664,413","772,740","46.2","53.8"
"Внуково","27,528","13,308","14,220","48.3","51.7"
"Дорогомилово","78,008","37,282","40,726","47.8","52.2"
"Крылатское","82,959","38,713","44,246","46.7","53.3"
"Кунцево","152,829","68,193","84,636","44.6","55.4"
"Можайское","145,699","67,721","77,978","46.5","53.5"
"Ново-Переделкино","123,113","58,409","64,704","47.4","52.6"
"Очаково-Матвеевское","130,515","62,627","67,888","48.0","52.0"
"Проспект Вернадского","66,864","31,525","35,339","47.1","52.9"
"Раменки","150,707","70,112","80,595","46.5","53.5"
"Солнцево","125,645","57,835","67,810","46.0","54.0"
"Тропарево-Никулино","127,940","58,796","69,144","46.0","54.0"
"Филевский Парк","111,703","49,321","62,382","44.2","55.8"
"Фили-Давыдково","113,643","50,571","63,072","44.5","55.5"
"Муниципальные образования Зеленоградского округа","256,775","121,581","135,194","47.3","52.7"
"Крюково","104,185","51,203","52,982","49.1","50.9"
"Матушкино","42,471","19,486","22,985","45.9","54.1"
"Савелки","37,470","17,330","20,140","46.3","53.7"
"Силино","40,848","18,527","22,321","45.4","54.6"
"Старое Крюково","31,801","15,035","16,766","47.3","52.7"
"Муниципальные образования Новомосковского округа","470,141","220,406","249,735","46.9","53.1"
"Поселение ""Мосрентген""","21,390","11,255","10,135","52.6","47.4"
"Поселение Внуковское ","59,580","26,741","32,839","44.9","55.1"
"Поселение Воскресенское","19,160","8,898","10,262","46.4","53.6"
"Поселение Десёновское ","38,788","18,178","20,610","46.9","53.1"
"Поселение Кокошкино","21,309","11,363","9,946","53.3","46.7"
"Поселение Марушкинское ","15,216","7,143","8,073","46.9","53.1"
"Поселение Московский","101,050","49,298","51,752","48.8","51.2"
"Поселение Рязановское ","28,810","12,832","15,978","44.5","55.5"
"Поселение Сосенское ","93,474","41,436","52,038","44.3","55.7"
"Поселение Филимонковское ","14,833","6,959","7,874","46.9","53.1"
"Поселение Щербинка","56,531","26,303","30,228","46.5","53.5"
"Муниципальные образования Северного округа","1,204,088","553,006","651,082","45.9","54.1"
"Аэропорт","79,757","36,583","43,174","45.9","54.1"
"Беговое","42,381","19,687","22,694","46.5","53.5"
"Бескудниковское","78,598","36,864","41,734","46.9","53.1"
"Войковское","71,241","31,988","39,253","44.9","55.1"
"Восточное Дегунино","101,275","45,648","55,627","45.1","54.9"
"Головинское","103,419","48,280","55,139","46.7","53.3"
"Дмитровское","102,459","47,342","55,117","46.2","53.8"
"Западное Дегунино","84,496","39,580","44,916","46.8","53.2"
"Коптево","102,758","46,784","55,974","45.5","54.5"
"Левобережное","55,941","24,922","31,019","44.6","55.4"
"Молжаниновское","12,359","5,804","6,555","47.0","53.0"
"Савеловское","59,636","28,846","30,790","48.4","51.6"
"Сокол","59,185","27,646","31,539","46.7","53.3"
"Тимирязевское","82,844","36,513","46,331","44.1","55.9"
"Ховрино","92,287","41,424","50,863","44.9","55.1"
"Хорошевское","75,452","35,095","40,357","46.5","53.5"
"Муниципальные образования Северо-Восточного округа","1,437,668","667,417","770,251","46.4","53.6"
"Алексеевское","78,119","37,429","40,690","47.9","52.1"
"Алтуфьевское","55,671","26,287","29,384","47.2","52.8"
"Бабушкинское","67,099","30,605","36,494","45.6","54.4"
"Бибирево","160,565","74,900","85,665","46.6","53.4"
"Бутырское","72,421","33,318","39,103","46.0","54.0"
"Лианозово","85,402","39,217","46,185","45.9","54.1"
"Лосиноостровское","82,733","37,053","45,680","44.8","55.2"
"Марфино","36,407","16,444","19,963","45.2","54.8"
"Марьина Роща","63,272","28,799","34,473","45.5","54.5"
"Останкинское","65,308","31,433","33,875","48.1","51.9"
"Отрадное","187,498","86,704","100,794","46.2","53.8"
"Ростокино","51,974","25,064","26,910","48.2","51.8"
"Свиблово","60,919","28,894","32,025","47.4","52.6"
"Северное","54,305","25,734","28,571","47.4","52.6"
"Северное Медведково","129,750","57,643","72,107","44.4","55.6"
"Южное Медведково","86,048","40,348","45,700","46.9","53.1"
"Ярославское","100,177","47,545","52,632","47.5","52.5"
"Муниципальные образования Северо-Западного округа","1,031,149","488,270","542,879","47.4","52.6"
"Куркино","31,975","14,783","17,192","46.2","53.8"
"Митино","198,872","92,920","105,952","46.7","53.3"
"Покровское-Стрешнево","66,050","33,306","32,744","50.4","49.6"
"Северное Тушино","171,292","81,171","90,121","47.4","52.6"
"Строгино","162,932","77,523","85,409","47.6","52.4"
"Хорошево-Мневники","180,431","85,204","95,227","47.2","52.8"
"Щукино","108,481","51,877","56,604","47.8","52.2"
"Южное Тушино","111,116","51,486","59,630","46.3","53.7"
"Муниципальные образования Троицкого округа","174,403","82,352","92,051","47.2","52.8"
"Поселение Вороновское ","14,485","6,848","7,637","47.3","52.7"
"Поселение Киевский","11,289","5,277","6,012","46.7","53.3"
"Поселение Кленовское ","5,289","2,457","2,832","46.5","53.5"
"Поселение Краснопахорское ","12,698","5,903","6,795","46.5","53.5"
"Поселение Михайлово-Ярцевское ","9,171","4,326","4,845","47.2","52.8"
"Поселение Новофедоровское ","17,781","8,665","9,116","48.7","51.3"
"Поселение Первомайское ","20,336","9,377","10,959","46.1","53.9"
"Поселение Роговское ","6,207","2,834","3,373","45.7","54.3"
"Поселение Троицк","65,043","31,022","34,021","47.7","52.3"
"Поселение Щаповское ","12,104","5,643","6,461","46.6","53.4"
"Муниципальные образования Центрального округа","772,258","366,991","405,267","47.5","52.5"
"Арбат","35,675","17,545","18,130","49.2","50.8"
"Басманное","107,533","51,663","55,870","48.0","52.0"
"Замоскворечье","55,132","26,321","28,811","47.7","52.3"
"Красносельское","45,719","22,836","22,883","49.9","50.1"
"Мещанское","56,818","27,264","29,554","48.0","52.0"
"Пресненское","125,873","59,153","66,720","47.0","53.0"
"Таганское","135,659","60,112","75,547","44.3","55.7"
"Тверское","76,387","38,841","37,546","50.8","49.2"
"Хамовники","105,113","49,736","55,377","47.3","52.7"
"Якиманка","28,349","13,520","14,829","47.7","52.3"
"Муниципальные образования Юго-Восточного округа","1,492,257","697,310","794,947","46.7","53.3"
"Выхино-Жулебино","241,109","112,152","128,957","46.5","53.5"
"Капотня","32,808","15,787","17,021","48.1","51.9"
"Кузьминки","140,966","64,381","76,585","45.7","54.3"
"Лефортово","102,844","50,956","51,888","49.5","50.5"
"Люблино","179,247","84,272","94,975","47.0","53.0"
"Марьино","267,668","124,123","143,545","46.4","53.6"
"Некрасовка","104,862","47,742","57,120","45.5","54.5"
"Нижегородское","49,588","23,493","26,095","47.4","52.6"
"Печатники","90,852","42,302","48,550","46.6","53.4"
"Рязанское","108,199","50,197","58,002","46.4","53.6"
"Текстильщики","102,088","48,087","54,001","47.1","52.9"
"Южнопортовое","72,026","33,818","38,208","47.0","53.0"
"Муниципальные образования Юго-Западного округа","1,431,903","662,510","769,393","46.3","53.7"
"Академическое","114,025","50,383","63,642","44.2","55.8"
"Гагаринское","81,021","36,879","44,142","45.5","54.5"
"Зюзино","124,093","57,406","66,687","46.3","53.7"
"Коньково","151,754","71,085","80,669","46.8","53.2"
"Котловка","64,481","29,775","34,706","46.2","53.8"
"Ломоносовское","88,335","40,151","48,184","45.5","54.5"
"Обручевское","90,212","42,819","47,393","47.5","52.5"
"Северное Бутово","96,407","45,491","50,916","47.2","52.8"
"Теплый Стан","133,135","62,241","70,894","46.8","53.2"
"Черемушки","107,303","51,895","55,408","48.4","51.6"
"Южное Бутово","204,779","92,856","111,923","45.3","54.7"
"Ясенево","176,358","81,529","94,829","46.2","53.8"
"Муниципальные образования Южного округа","1,789,371","826,721","962,650","46.2","53.8"
"Бирюлево Восточное","156,438","70,828","85,610","45.3","54.7"
"Бирюлево Западное","85,883","39,593","46,290","46.1","53.9"
"Братеево","102,794","45,974","56,820","44.7","55.3"
"Даниловское","104,850","51,369","53,481","49.0","51.0"
"Донское","52,861","23,792","29,069","45.0","55.0"
"Зябликово","133,707","61,516","72,191","46.0","54.0"
"Москворечье-Сабурово","89,130","47,229","41,901","53.0","47.0"
"Нагатино-Садовники","83,046","39,051","43,995","47.0","53.0"
"Нагатинский Затон","120,624","55,215","65,409","45.8","54.2"
"Нагорное","78,098","35,205","42,893","45.1","54.9"
"Орехово-Борисово Северное","127,828","59,205","68,623","46.3","53.7"
"Орехово-Борисово Южное","146,688","67,493","79,195","46.0","54.0"
"Царицыно","123,922","54,342","69,580","43.9","56.1"
"Чертаново Северное","111,115","49,759","61,356","44.8","55.2"
"Чертаново Центральное","113,235","52,293","60,942","46.2","53.8"
"Чертаново Южное","159,152","73,857","85,295","46.4","53.6"
"Северо-Западный федеральный округ","13,917,197","6,379,110","7,538,087","45.8","54.2"
"Городское население","11,822,336","5,364,169","6,458,167","45.4","54.6"
"Сельское население","2,094,861","1,014,941","1,079,920","48.4","51.6"
"Республика Карелия","533,121","238,996","294,125","44.8","55.2"
"Городское население","423,680","187,158","236,522","44.2","55.8"
"Сельское население","109,441","51,838","57,603","47.4","52.6"
"Городской округ г. Петрозаводск - городское население - г. Петрозаводск","234,897","102,555","132,342","43.7","56.3"
"Городской округ г. Костомукша","26,650","12,564","14,086","47.1","52.9"
"Городское население - г. Костомукша","26,048","12,274","13,774","47.1","52.9"
"Сельское население","602","290","312","48.2","51.8"
"Беломорский муниципальный район","13,076","5,769","7,307","44.1","55.9"
"Городское население","7,708","3,329","4,379","43.2","56.8"
"Сельское население","5,368","2,440","2,928","45.5","54.5"
"Беломорское городское поселение ","8,596","3,715","4,881","43.2","56.8"
"Городское население - г. Беломорск","7,708","3,329","4,379","43.2","56.8"
"Сельское население","888","386","502","43.5","56.5"
"Летнереченское сельское поселение  - сельское население","1,166","506","660","43.4","56.6"
"Сосновецкое сельское поселение  - сельское население","1,880","870","1,010","46.3","53.7"
"Сумпосадское сельское поселение  - сельское население","1,434","678","756","47.3","52.7"
"Калевальский муниципальный район","6,176","2,850","3,326","46.1","53.9"
"Городское население","3,526","1,640","1,886","46.5","53.5"
"Сельское население","2,650","1,210","1,440","45.7","54.3"
"Калевальское городское поселение ","3,694","1,718","1,976","46.5","53.5"
"Городское население - пгт Калевала","3,526","1,640","1,886","46.5","53.5"
"Сельское население","168","78","90","46.4","53.6"
"Боровское сельское поселение  - сельское население","1,340","606","734","45.2","54.8"
"Луусалмское сельское поселение  - сельское население","288","137","151","47.6","52.4"
"Юшкозерское сельское поселение  - сельское население","854","389","465","45.6","54.4"
"Кемский муниципальный район","13,138","6,021","7,117","45.8","54.2"
"Городское население","10,018","4,530","5,488","45.2","54.8"
"Сельское население","3,120","1,491","1,629","47.8","52.2"
"Кемское городское поселение ","10,418","4,738","5,680","45.5","54.5"
"Городское население - г. Кемь","10,018","4,530","5,488","45.2","54.8"
"Сельское население","400","208","192","52.0","48.0"
"Кривопорожское сельское поселение  - сельское население","899","409","490","45.5","54.5"
"Куземское сельское поселение  - сельское население","310","145","165","46.8","53.2"
"Рабочеостровское сельское поселение  - сельское население","1,511","729","782","48.2","51.8"
"Кондопожский муниципальный район","32,477","14,491","17,986","44.6","55.4"
"Городское население","25,851","11,256","14,595","43.5","56.5"
"Сельское население","6,626","3,235","3,391","48.8","51.2"
"Кондопожское городское поселение ","26,414","11,507","14,907","43.6","56.4"
"Городское население - г. Кондопога","25,851","11,256","14,595","43.5","56.5"
"Сельское население","563","251","312","44.6","55.4"
"Гирвасское сельское поселение  - сельское население","1,136","526","610","46.3","53.7"
"Кедрозерское сельское поселение  - сельское население","526","297","229","56.5","43.5"
"Кончезерское сельское поселение  - сельское население","1,534","738","796","48.1","51.9"
"Кяппесельгское сельское поселение  - сельское население","687","334","353","48.6","51.4"
"Новинское сельское поселение  - сельское население","263","144","119","54.8","45.2"
"Петровское сельское поселение  - сельское население","922","477","445","51.7","48.3"
"Янишпольское сельское поселение  - сельское население","995","468","527","47.0","53.0"
"Лахденпохский муниципальный район","10,887","4,993","5,894","45.9","54.1"
"Городское население","5,952","2,641","3,311","44.4","55.6"
"Сельское население","4,935","2,352","2,583","47.7","52.3"
"Лахденпохское городское поселение ","5,952","2,641","3,311","44.4","55.6"
"Городское население - г. Лахденпохья","5,952","2,641","3,311","44.4","55.6"
"Сельское население","-","-","-","-","-"
"Куркиекское сельское поселение  - сельское население","1,172","554","618","47.3","52.7"
"Мийнальское сельское поселение  - сельское население","1,264","612","652","48.4","51.6"
"Хийтольское сельское поселение  - сельское население","1,498","704","794","47.0","53.0"
"Элисенваарское сельское поселение  - сельское население","1,001","482","519","48.2","51.8"
"Лоухский муниципальный район","10,259","4,706","5,553","45.9","54.1"
"Городское население","7,361","3,293","4,068","44.7","55.3"
"Сельское население","2,898","1,413","1,485","48.8","51.2"
"Лоухское городское поселение  - городское население - пгт Лоухи","3,709","1,680","2,029","45.3","54.7"
"Пяозерское городское поселение   - городское население - пгт Пяозерский","1,578","702","876","44.5","55.5"
"Чупинское городское поселение ","2,192","966","1,226","44.1","55.9"
"Городское население - пгт Чупа","2,074","911","1,163","43.9","56.1"
"Сельское население","118","55","63","46.6","53.4"
"Амбарнское сельское поселение  - сельское население","409","196","213","47.9","52.1"
"Кестеньгское сельское поселение  - сельское население","1,774","860","914","48.5","51.5"
"Малиновараккское сельское поселение  - сельское население","382","201","181","52.6","47.4"
"Плотинское сельское поселение  - сельское население","215","101","114","47.0","53.0"
"Медвежьегорский муниципальный район","24,108","11,161","12,947","46.3","53.7"
"Городское население","17,707","8,132","9,575","45.9","54.1"
"Сельское население","6,401","3,029","3,372","47.3","52.7"
"Медвежьегорское городское поселение ","12,189","5,538","6,651","45.4","54.6"
"Городское население - г. Медвежьегорск","11,962","5,424","6,538","45.3","54.7"
"Сельское население","227","114","113","50.2","49.8"
"Пиндушское городское поселение ","4,377","2,085","2,292","47.6","52.4"
"Городское население - пгт Пиндуши","3,933","1,880","2,053","47.8","52.2"
"Сельское население","444","205","239","46.2","53.8"
"Повенецкое городское поселение ","2,809","1,348","1,461","48.0","52.0"
"Городское население - пгт Повенец","1,812","828","984","45.7","54.3"
"Сельское население","997","520","477","52.2","47.8"
"Великогубское сельское поселение  - сельское население","1,624","746","878","45.9","54.1"
"Паданское сельское поселение  - сельское население","866","396","470","45.7","54.3"
"Толвуйское сельское поселение  - сельское население","983","476","507","48.4","51.6"
"Чебинское сельское поселение  - сельское население","176","83","93","47.2","52.8"
"Челмужское сельское поселение  - сельское население","278","113","165","40.6","59.4"
"Шуньгское сельское поселение  - сельское население","806","376","430","46.7","53.3"
"Муезерский муниципальный район","8,258","3,784","4,474","45.8","54.2"
"Городское население","2,604","1,166","1,438","44.8","55.2"
"Сельское население","5,654","2,618","3,036","46.3","53.7"
"Муезерское городское поселение  - городское население - пгт Муезерский","2,604","1,166","1,438","44.8","55.2"
"Воломское сельское поселение  - сельское население","665","297","368","44.7","55.3"
"Ледмозерское сельское поселение  - сельское население","1,743","765","978","43.9","56.1"
"Лендерское сельское поселение  - сельское население","994","464","530","46.7","53.3"
"Пенингское сельское поселение  - сельское население","267","135","132","50.6","49.4"
"Ребольское сельское поселение  - сельское население","522","240","282","46.0","54.0"
"Ругозерское сельское поселение  - сельское население","563","281","282","49.9","50.1"
"Суккозерское сельское поселение  - сельское население","900","436","464","48.4","51.6"
"Олонецкий муниципальный район","19,011","8,673","10,338","45.6","54.4"
"Городское население","7,663","3,318","4,345","43.3","56.7"
"Сельское население","11,348","5,355","5,993","47.2","52.8"
"Олонецкое городское поселение ","9,736","4,305","5,431","44.2","55.8"
"Городское население - г. Олонец","7,663","3,318","4,345","43.3","56.7"
"Сельское население","2,073","987","1,086","47.6","52.4"
"Видлицкое сельское поселение  - сельское население","2,135","1,069","1,066","50.1","49.9"
"Ильинское сельское поселение  - сельское население","2,803","1,278","1,525","45.6","54.4"
"Коверское сельское поселение  - сельское население","540","250","290","46.3","53.7"
"Коткозерское сельское поселение  - сельское население","1,012","490","522","48.4","51.6"
"Куйтежское сельское поселение  - сельское население","513","234","279","45.6","54.4"
"Мегрегское сельское поселение  - сельское население","942","427","515","45.3","54.7"
"Михайловское сельское поселение  - сельское население","334","140","194","41.9","58.1"
"Туксинское сельское поселение  - сельское население","996","480","516","48.2","51.8"
"Питкярантский муниципальный район","15,230","6,706","8,524","44.0","56.0"
"Городское население","8,340","3,583","4,757","43.0","57.0"
"Сельское население","6,890","3,123","3,767","45.3","54.7"
"Питкярантское городское поселение ","8,673","3,745","4,928","43.2","56.8"
"Городское население - г. Питкяранта","8,340","3,583","4,757","43.0","57.0"
"Сельское население","333","162","171","48.6","51.4"
"Импилахтинское сельское поселение  - сельское население","614","277","337","45.1","54.9"
"Ляскельское сельское поселение  - сельское население","2,682","1,204","1,478","44.9","55.1"
"Салминское сельское поселение  - сельское население","2,246","1,022","1,224","45.5","54.5"
"Харлуское сельское поселение  - сельское население","1,015","458","557","45.1","54.9"
"Прионежский муниципальный район - сельское население","22,351","10,679","11,672","47.8","52.2"
"Гарнизонное сельское поселение ","1,142","606","536","53.1","46.9"
"Деревянкское сельское поселение ","1,818","854","964","47.0","53.0"
"Деревянское сельское поселение ","2,061","982","1,079","47.6","52.4"
"Заозерское сельское поселение ","2,499","1,191","1,308","47.7","52.3"
"Ладва-Веткинское сельское поселение ","900","455","445","50.6","49.4"
"Ладвинское сельское поселение ","2,031","990","1,041","48.7","51.3"
"Мелиоративное сельское поселение ","2,245","1,015","1,230","45.2","54.8"
"Нововилговское сельское поселение ","3,023","1,403","1,620","46.4","53.6"
"Пайское сельское поселение ","535","260","275","48.6","51.4"
"Рыборецкое вепсское сельское поселение ","569","269","300","47.3","52.7"
"Шелтозерское вепсское сельское поселение ","1,054","493","561","46.8","53.2"
"Шокшинское вепсское сельское поселение ","939","460","479","49.0","51.0"
"Шуйское сельское поселение ","3,535","1,701","1,834","48.1","51.9"
"Пряжинский муниципальный район","12,069","5,587","6,482","46.3","53.7"
"Городское население","2,979","1,286","1,693","43.2","56.8"
"Сельское население","9,090","4,301","4,789","47.3","52.7"
"Пряжинское городское поселение","3,048","1,315","1,733","43.1","56.9"
"Городское население - пгт Пряжа","2,979","1,286","1,693","43.2","56.8"
"Сельское население","69","29","40","42.0","58.0"
"Ведлозерское сельское поселение  - сельское население","879","423","456","48.1","51.9"
"Крошнозерское сельское поселение  - сельское население","371","197","174","53.1","46.9"
"Матросское сельское поселение  - сельское население","848","410","438","48.3","51.7"
"Святозерское сельское поселение  - сельское население","616","284","332","46.1","53.9"
"Чалнинское сельское поселение  - сельское население","3,132","1,461","1,671","46.6","53.4"
"Эссойльское сельское поселение  - сельское население","3,175","1,497","1,678","47.1","52.9"
"Пудожский муниципальный район","14,964","6,842","8,122","45.7","54.3"
"Городское население","7,356","3,264","4,092","44.4","55.6"
"Сельское население","7,608","3,578","4,030","47.0","53.0"
"Пудожское городское поселение ","8,257","3,688","4,569","44.7","55.3"
"Городское население - г. Пудож","7,356","3,264","4,092","44.4","55.6"
"Сельское население","901","424","477","47.1","52.9"
"Авдеевское сельское поселение  - сельское население","647","319","328","49.3","50.7"
"Красноборское сельское поселение  - сельское население","779","383","396","49.2","50.8"
"Кривецкое сельское поселение  - сельское население","760","346","414","45.5","54.5"
"Кубовское сельское поселение  - сельское население","925","442","483","47.8","52.2"
"Куганаволокское сельское поселение  - сельское население","288","150","138","52.1","47.9"
"Пяльмское сельское поселение  - сельское население","1,800","825","975","45.8","54.2"
"Шальское сельское поселение  - сельское население","1,508","689","819","45.7","54.3"
"Сегежский муниципальный район","32,371","15,009","17,362","46.4","53.6"
"Городское население","29,613","13,544","16,069","45.7","54.3"
"Сельское население","2,758","1,465","1,293","53.1","46.9"
